Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
10.1692067,1.48E-05,885.7578,22.4195538,0.0453229,22.06390147
10.2145296,-0.000162966,908.6106,16.4529714,0.0191745,52.15259845
10.2337041,1.48E-05,920.5338,20.430693,0.025995,38.46893637
10.2596991,1.48E-05,884.7642,20.430693,0.0445523,22.4455303
10.3042514,-0.000162966,903.6426,18.4418322,0.0451307,22.15786594
10.3493821,1.48E-05,921.5274,20.430693,0.0192362,51.98531928
10.3686183,-0.000162966,887.745,18.4418322,0.0267402,37.3968781
10.3953585,1.48E-05,899.6682,20.430693,0.0440423,22.70544456
10.4394008,-0.000162966,926.4954,22.4195538,0.0447647,22.33903053
10.4841655,0.000192606,889.7322,20.430693,0.0189415,52.79412932
10.503107,-0.000340752,899.6682,20.430693,0.0271212,36.87152487
10.5302282,-0.000340752,924.5082,20.430693,0.043941,22.75778885
10.5741692,1.48E-05,893.7066,18.4418322,0.0453928,22.02992545
10.619562,-0.000162966,893.7066,18.4418322,0.0182686,54.73873206
10.6378306,1.48E-05,921.5274,18.4418322,0.0263633,37.93151837
10.6641939,1.48E-05,898.6746,20.430693,0.0451854,22.13104233
10.7093793,-0.000340752,889.7322,14.4641106,0.044892,22.27568388
10.7542713,1.48E-05,920.5338,18.4418322,0.0192358,51.9864003
10.7735071,-0.000340752,905.6298,20.430693,0.0262576,38.08421182
10.7997647,1.48E-05,887.745,20.430693,0.0445098,22.46696234
10.8442745,-0.000340752,920.5338,16.4529714,0.0450757,22.18490227
10.8893502,-0.000162966,907.617,18.4418322,0.0185169,54.00472013
10.9078671,-0.000340752,881.7834,20.430693,0.0279183,35.81879984
10.9357854,-0.000518538,911.5914,16.4529714,0.0436989,22.8838712
10.9794843,1.48E-05,911.5914,18.4418322,0.0188269,53.11548903
10.9983112,-0.000162966,882.777,18.4418322,0.0261437,38.25013292
11.0244549,1.48E-05,913.5786,16.4529714,0.0447126,22.3650604
11.0691675,0.000192606,916.5594,18.4418322,0.0454495,22.00244228
11.114617,-0.000340752,879.7962,20.430693,0.019861,50.34993201
11.134478,-0.000340752,908.6106,18.4418322,0.0258609,38.66841448
11.1603389,-0.000162966,919.5402,20.430693,0.0440189,22.71751451
11.2043578,-0.000340752,885.7578,16.4529714,0.0450384,22.20327543
11.2493962,-0.000162966,907.617,18.4418322,0.0230278,43.42577239
11.272424,-0.000162966,922.521,16.4529714,0.025934,38.55942002
