Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
16971000,-0.000518538,486.3306,-55.1460174,37000
17008000,-0.000340752,484.3434,-59.123739,34000
17042000,-0.000162966,485.337,-57.1348782,33000
17075000,-0.000518538,485.337,-59.123739,34000
17109000,-0.000340752,484.3434,-57.1348782,33000
17142000,-0.000162966,483.3498,-57.1348782,34000
17176000,-0.000162966,485.337,-57.1348782,33000
17209000,-0.000518538,483.3498,-55.1460174,34000
17243000,-0.000340752,484.3434,-57.1348782,34000
17277000,-0.000340752,486.3306,-57.1348782,33000
17310000,-0.000518538,484.3434,-55.1460174,34000
17344000,-0.000696324,485.337,-53.1571566,33000
17377000,-0.000340752,486.3306,-57.1348782,34000
17411000,-0.000162966,486.3306,-53.1571566,33000
17444000,-0.000162966,483.3498,-57.1348782,34000
17478000,-0.000518538,486.3306,-55.1460174,33000
17511000,-0.000340752,486.3306,-57.1348782,37000
17548000,-0.000518538,487.3242,-43.2128526,37000
17585000,-0.000340752,484.3434,-43.2128526,33000
17618000,-0.000340752,487.3242,-41.2239918,34000
17652000,-0.000340752,486.3306,-41.2239918,34000
17686000,-0.000518538,484.3434,-43.2128526,33000
17719000,-0.000162966,486.3306,-39.235131,34000
17753000,-0.000340752,487.3242,-43.2128526,33000
17786000,-0.000340752,485.337,-41.2239918,34000
17820000,-0.000518538,488.3178,-43.2128526,33000
17853000,-0.000162966,487.3242,-39.235131,34000
17887000,-0.000696324,484.3434,-41.2239918,33000
17920000,-0.000162966,486.3306,-39.235131,34000
17954000,-0.000340752,487.3242,-39.235131,33000
17987000,-0.000518538,485.337,-41.2239918,34000
18021000,-0.000518538,486.3306,-41.2239918,33000
18054000,-0.000340752,488.3178,-41.2239918,34000
18088000,-0.000340752,485.337,-45.2017134,37000
18125000,-0.000696324,486.3306,-27.3019662,37000
18162000,-0.000162966,487.3242,-29.290827,33000
18195000,-0.000340752,489.3114,-23.3242446,34000
18229000,-0.000518538,487.3242,-29.290827,34000
18263000,-0.000518538,486.3306,-29.290827,33000
18296000,1.48E-05,489.3114,-27.3019662,34000
18330000,-0.000518538,488.3178,-27.3019662,33000
18363000,-0.000518538,486.3306,-27.3019662,34000
18397000,-0.000696324,489.3114,-27.3019662,33000
18430000,-0.000340752,487.3242,-27.3019662,34000
18464000,-0.000340752,487.3242,-25.3131054,33000
18497000,-0.000340752,489.3114,-27.3019662,34000
18531000,-0.000340752,488.3178,-23.3242446,33000
18564000,-0.000340752,486.3306,-25.3131054,34000
18598000,-0.000340752,488.3178,-27.3019662,33000
18631000,-0.000340752,487.3242,-25.3131054,34000
18665000,-0.000162966,487.3242,-27.3019662,33000
