Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
25358,-0.000696324,951.3354,22.4195538,50
25408,-0.000696324,951.3354,22.4195538,50
25458,-0.000696324,951.3354,22.4195538,50
25508,-0.000696324,950.3418,20.430693,50
25558,-0.000696324,947.361,20.430693,50
25608,-0.000696324,949.3482,20.430693,50
25658,-0.000696324,952.329,22.4195538,50
25708,-0.001051896,952.329,20.430693,50
25758,-0.000696324,953.3226,22.4195538,50
25808,-0.00087411,952.329,20.430693,50
25858,-0.000696324,952.329,24.4084146,50
25908,-0.000696324,952.329,24.4084146,50
25958,-0.00087411,954.3162,22.4195538,50
26008,-0.000518538,953.3226,22.4195538,50
26058,-0.00087411,949.3482,20.430693,50
26108,-0.001051896,952.329,24.4084146,50
26158,-0.00087411,954.3162,22.4195538,50
26208,-0.000696324,951.3354,22.4195538,50
26258,-0.00087411,952.329,24.4084146,50
26308,-0.00087411,953.3226,20.430693,50
26358,-0.001051896,951.3354,24.4084146,50
26408,-0.00087411,953.3226,22.4195538,50
26458,-0.000696324,952.329,22.4195538,50
26508,-0.00087411,954.3162,22.4195538,50
26558,-0.000696324,950.3418,20.430693,50
26608,-0.000696324,956.3034,22.4195538,50
26658,-0.000518538,949.3482,20.430693,50
26708,-0.00087411,952.329,26.3972754,50
26758,-0.00087411,952.329,24.4084146,50
26808,-0.00087411,952.329,24.4084146,50
26858,-0.000518538,947.361,24.4084146,50
26908,-0.00087411,953.3226,22.4195538,50
26958,-0.00087411,949.3482,22.4195538,50
27008,-0.000696324,952.329,22.4195538,50
27058,-0.000518538,952.329,22.4195538,50
27108,-0.00087411,950.3418,22.4195538,50
27158,-0.001051896,952.329,24.4084146,50
27208,-0.000696324,955.3098,24.4084146,50
27258,-0.000518538,951.3354,20.430693,51
27309,-0.00087411,952.329,24.4084146,50
27359,-0.00087411,950.3418,22.4195538,50
27409,-0.00087411,953.3226,22.4195538,50
27459,-0.000696324,954.3162,24.4084146,50
27509,-0.000696324,952.329,22.4195538,50
27559,-0.000696324,950.3418,20.430693,50
27609,-0.000518538,956.3034,22.4195538,50
27659,-0.000696324,953.3226,24.4084146,50
27709,-0.000696324,954.3162,22.4195538,50
27759,-0.000696324,951.3354,24.4084146,50
27809,-0.00087411,955.3098,24.4084146,50
27859,-0.000696324,952.329,20.430693,50
27909,-0.000696324,954.3162,20.430693,50
27959,-0.00087411,951.3354,24.4084146,50
28009,-0.000696324,954.3162,20.430693,50
28059,-0.000696324,952.329,18.4418322,50
28109,-0.000696324,955.3098,22.4195538,50
28159,-0.000518538,953.3226,18.4418322,50
28209,-0.00087411,953.3226,22.4195538,50
28259,-0.000696324,954.3162,22.4195538,50
28309,-0.00087411,955.3098,22.4195538,50
28359,-0.001051896,954.3162,24.4084146,50
28409,-0.001051896,957.297,22.4195538,50
28459,-0.000696324,954.3162,20.430693,50
28509,-0.00087411,956.3034,22.4195538,50
28559,-0.00087411,952.329,20.430693,50
28609,-0.00087411,957.297,20.430693,50
28659,-0.00087411,953.3226,24.4084146,50
28709,-0.000696324,954.3162,22.4195538,50
28759,-0.000696324,954.3162,24.4084146,50
28809,-0.00087411,952.329,22.4195538,50
28859,-0.00087411,954.3162,22.4195538,50
28909,-0.000340752,954.3162,24.4084146,50
28959,-0.00087411,955.3098,22.4195538,50
29009,-0.000696324,955.3098,26.3972754,50
29059,-0.000696324,952.329,22.4195538,50
29109,-0.000696324,958.2906,22.4195538,50
29159,-0.00087411,954.3162,22.4195538,50
29209,-0.00087411,960.2778,24.4084146,50
29259,-0.001051896,952.329,22.4195538,50
29309,-0.00087411,957.297,22.4195538,50
29359,-0.000696324,951.3354,24.4084146,50
29409,-0.000696324,956.3034,24.4084146,50
29459,-0.000696324,953.3226,20.430693,50
29509,-0.001051896,956.3034,18.4418322,50
29559,-0.000696324,952.329,20.430693,50
29609,-0.000518538,956.3034,22.4195538,50
29659,-0.000696324,953.3226,20.430693,50
29709,-0.00087411,959.2842,22.4195538,50
29759,-0.000696324,956.3034,20.430693,50
29809,-0.000696324,957.297,22.4195538,50
29859,-0.000696324,954.3162,22.4195538,50
29909,-0.000696324,956.3034,26.3972754,50
29959,-0.00087411,954.3162,20.430693,50
30009,-0.00087411,955.3098,20.430693,50
30059,-0.00087411,955.3098,20.430693,50
30109,-0.000696324,960.2778,22.4195538,50
30159,-0.001051896,959.2842,24.4084146,50
30209,-0.00087411,958.2906,20.430693,50
30259,-0.001051896,954.3162,24.4084146,50
30309,-0.001051896,961.2714,22.4195538,50
30359,-0.001051896,957.297,22.4195538,50
30409,-0.001051896,957.297,22.4195538,51
30460,-0.000696324,957.297,22.4195538,50
30510,-0.000696324,958.2906,22.4195538,50
30560,-0.00087411,953.3226,20.430693,50
30610,-0.00087411,956.3034,20.430693,50
30660,-0.001051896,957.297,22.4195538,50
